LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
0.0001427671,1.4339
0.0001428071,1.76599
0.0001428471,2.09809
0.0001428871,2.09809
0.0001429271,1.76599
0.0001429671,2.09809
0.0001430071,2.09809
0.0001430471,1.76599
0.0001430871,1.4339
0.0001431271,1.76599
0.0001431671,1.76599
0.0001432071,2.09809
0.0001432471,1.4339
0.0001432871,1.4339
0.0001433271,1.76599
0.0001433671,1.76599
0.0001434071,1.4339
0.0001434471,1.76599
0.0001434871,1.76599
0.0001435271,1.4339
0.0001435671,1.76599
0.0001436071,2.09809
0.0001436471,1.76599
0.0001436871,2.09809
0.0001437271,1.4339
0.0001437671,2.43018
0.0001438071,2.09809
0.0001438471,2.09809
0.0001438871,1.4339
0.0001439271,1.4339
0.0001439671,1.76599
0.0001440071,1.76599
0.0001440471,1.76599
0.0001440871,2.09809
0.0001441271,2.09809
0.0001441671,2.09809
0.0001442071,1.76599
0.0001442471,1.76599
0.0001442871,1.76599
0.0001443271,2.09809
0.0001443671,1.4339
0.0001444071,2.09809
0.0001444471,1.4339
0.0001444871,1.76599
0.0001445271,1.4339
0.0001445671,1.4339
0.0001446071,1.76599
0.0001446471,1.76599
0.0001446871,1.76599
0.0001447271,1.76599
0.0001447671,2.09809
0.0001448071,1.76599
0.0001448471,1.76599
0.0001448871,1.76599
0.0001449271,1.76599
0.0001449671,1.76599
0.0001450071,1.10181
0.0001450471,1.76599
0.0001450871,1.76599
0.0001451271,2.09809
0.0001451671,1.4339
0.0001452071,2.43018
0.0001452471,1.76599
0.0001452871,2.43018
0.0001453271,1.10181
0.0001453671,1.76599
0.0001454071,1.4339
0.0001454471,1.76599
0.0001454871,1.4339
0.0001455271,1.76599
0.0001455671,1.76599
0.0001456071,1.76599
0.0001456471,1.76599
0.0001456871,1.76599
0.0001457271,1.76599
0.0001457671,2.09809
0.0001458071,1.4339
0.0001458471,1.76599
0.0001458871,1.76599
0.0001459271,2.09809
0.0001459671,1.4339
0.0001460071,1.4339
0.0001460471,1.4339
0.0001460871,1.76599
0.0001461271,1.10181
0.0001461671,2.09809
0.0001462071,2.09809
0.0001462471,2.09809
0.0001462871,1.10181
0.0001463271,2.09809
0.0001463671,1.76599
0.0001464071,1.76599
0.0001464471,1.4339
0.0001464871,1.76599
0.0001465271,1.76599
0.0001465671,1.76599
0.0001466071,1.4339
0.0001466471,1.76599
0.0001466871,1.4339
0.0001467271,1.76599
0.0001467671,1.4339
0.0001468071,1.76599
0.0001468471,1.76599
0.0001468871,1.76599
0.0001469271,1.4339
0.0001469671,1.76599
0.0001470071,1.76599
0.0001470471,1.76599
0.0001470871,1.4339
0.0001471271,1.76599
0.0001471671,1.4339
0.0001472071,1.76599
0.0001472471,1.4339
0.0001472871,1.4339
0.0001473271,1.4339
0.0001473671,1.10181
0.0001474071,1.4339
0.0001474471,1.4339
0.0001474871,1.4339
0.0001475271,1.76599
0.0001475671,1.4339
0.0001476071,1.76599
0.0001476471,1.10181
0.0001476871,1.76599
0.0001477271,1.4339
0.0001477671,1.76599
0.0001478071,1.76599
0.0001478471,2.09809
0.0001478871,1.4339
0.0001479271,1.4339
0.0001479671,1.76599
0.0001480071,1.76599
0.0001480471,1.10181
0.0001480871,1.76599
0.0001481271,1.10181
0.0001481671,1.76599
0.0001482071,1.10181
0.0001482471,1.4339
0.0001482871,1.76599
0.0001483271,1.76599
0.0001483671,1.4339
0.0001484071,1.76599
0.0001484471,1.4339
0.0001484871,1.4339
0.0001485271,0.769713
0.0001485671,1.10181
0.0001486071,1.4339
0.0001486471,1.4339
0.0001486871,1.10181
0.0001487271,1.4339
0.0001487671,1.4339
0.0001488071,1.76599
0.0001488471,1.10181
0.0001488871,1.76599
0.0001489271,1.4339
0.0001489671,1.4339
0.0001490071,1.10181
0.0001490471,1.10181
0.0001490871,1.10181
0.0001491271,1.10181
0.0001491671,1.10181
0.0001492071,1.76599
0.0001492471,1.4339
0.0001492871,1.4339
0.0001493271,1.10181
0.0001493671,1.4339
0.0001494071,1.10181
0.0001494471,1.4339
0.0001494871,1.4339
0.0001495271,1.4339
0.0001495671,1.4339
0.0001496071,1.4339
0.0001496471,1.10181
0.0001496871,1.10181
0.0001497271,1.10181
0.0001497671,1.10181
0.0001498071,1.10181
0.0001498471,1.4339
0.0001498871,1.4339
0.0001499271,1.4339
0.0001499671,1.10181
0.0001500071,1.10181
0.0001500471,1.10181
0.0001500871,1.4339
0.0001501271,1.10181
0.0001501671,1.4339
0.0001502071,1.10181
0.0001502471,1.10181
0.0001502871,0.769713
0.0001503271,1.4339
0.0001503671,1.10181
0.0001504071,1.4339
0.0001504471,0.769713
0.0001504871,1.10181
0.0001505271,1.10181
0.0001505671,1.4339
0.0001506071,1.10181
0.0001506471,1.10181
0.0001506871,1.4339
0.0001507271,1.4339
0.0001507671,1.10181
0.0001508071,1.4339
0.0001508471,1.10181
0.0001508871,1.4339
0.0001509271,1.10181
0.0001509671,1.10181
0.0001510071,1.10181
0.0001510471,1.4339
0.0001510871,1.10181
0.0001511271,1.4339
0.0001511671,0.769713
0.0001512071,1.4339
0.0001512471,1.10181
0.0001512871,1.10181
0.0001513271,1.4339
0.0001513671,1.4339
0.0001514071,0.43762
0.0001514471,1.10181
0.0001514871,1.4339
0.0001515271,1.10181
0.0001515671,1.10181
0.0001516071,0.769713
0.0001516471,1.10181
0.0001516871,1.10181
0.0001517271,0.769713
0.0001517671,1.10181
0.0001518071,1.10181
0.0001518471,1.10181
0.0001518871,1.10181
0.0001519271,1.10181
0.0001519671,0.769713
0.0001520071,1.10181
0.0001520471,0.769713
0.0001520871,0.769713
0.0001521271,0.43762
0.0001521671,1.10181
0.0001522071,0.43762
0.0001522471,1.10181
0.0001522871,1.10181
0.0001523271,0.769713
0.0001523671,0.769713
0.0001524071,1.10181
0.0001524471,0.769713
0.0001524871,1.10181
0.0001525271,0.769713
0.0001525671,1.10181
0.0001526071,0.43762
0.0001526471,1.10181
0.0001526871,0.769713
0.0001527271,0.769713
0.0001527671,0.43762
0.0001528071,1.4339
0.0001528471,0.43762
0.0001528871,1.10181
0.0001529271,0.769713
0.0001529671,0.769713
0.0001530071,0.769713
0.0001530471,1.10181
0.0001530871,0.769713
0.0001531271,1.10181
